etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
VenantApple,Macbook Pro,750 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b51cac47ae297d44ee826c3aa64b41c/-/horizon-files-prod/ed/picture/q78wz8gd/034e1fbc5feb0840765c94fcb83a8a2e4825ab98.jpg
Venant,GAMER MSI Prestige blanc,435 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4abffbfd0568960c2967a4f7997beedd/-/horizon-files-prod/ed/picture/qgqwjmjn/092cf7a86a698dbe6424de69cfcc89e91719f549.jpg
VenantHP,HP ELITEDESK 800 G3 | i5 | 6e Gen,100 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6583d95bf452413355a641931dd7063/-/horizon-files-prod/ed/picture/qwe20m6p/8d214649dac616dee158934bcee6531b07ee9fa1.jpg
VenantDell,*Dell latitude 5400*,165 000,Liberte 5 Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6cea08245a09027424a21eb3f4b2ab17/-/horizon-files-prod/ed/picture/qrz8xq89/7fb3712ae4a1a348e27d3fc037683d52ee56871d.jpg
NeufDell,Dell Latitude 9450 2-en-1 Ultra 7 165U 2024,850 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/058a06736d88ba77a54fae8f3196118d/-/horizon-files-prod/ed/picture/qde7g76g/1afa442f133a27101116acf8e1ce2057e11db988.jpg
NeufAutre,Mini PC 6 Go 128 Go Windows 11,125 000,Grand-Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad04d908835d337074fda1e81f0e994e/-/horizon-files-prod/ed/picture/qrzvp5pn/7787695dc7b1c9e6396739a03911630098411881.jpg
NeufApple,MacBook Pro M3 Pro 2023 14“ Pouces,1 350 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1d88c61e8a3e8a5a74ef138fef30ed5/-/horizon-files-prod/ed/picture/qrz8kwr8/7f9e4010a3a9e78107077f7b48a37fcca6eaf376.jpg
D'occasionLenovo,lenovo T470s,180 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ca8c41980e28baea17bf64dbff99dbb/-/horizon-files-prod/ed/picture/q6xd8qwz/ff8b8f03aa63c2e8c778c5d90fa3d3ef744e4e36.jpg
RéconditionnéHP,HP ELITEBOOK 840G6 I7,225 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4877648849cc4ed1a95f418fe7aff914/-/horizon-files-prod/ed/picture/q2jrpe8v/4ca31222b31536251f449e9195cfbe550611409e.jpg
NeufApple,Air M2 2022,575 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70dd7e13ef5ec7743ffc1993fb6013e2/-/horizon-files-prod/ed/picture/qpdmem0x/f8a7fe190de8466f78621130b50aea4675f61d44.jpg
VenantLenovo,Ordinateur,120 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2bd5c9b08da80adbbc5f59a1aa9dd4d6/-/horizon-files-prod/ed/picture/q448xwem/02bb9f85a4e7a58357b1a8d141c5c8fa937e5e9d.jpg
NeufDell,DELL Latitude 5440 Cor i7 13ème Gén,325 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a145f9a62f5f0dd740c3dadd9adb9c3/-/horizon-files-prod/ed/picture/q44n2w4z/586cb1ce5d5b144792628c1f39d4502336389764.jpg
VenantDell,Dell 3189 Tactile pliable,105 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d198d412ed7a78b6fa7c492e5b837161/-/horizon-files-prod/ed/picture/qrz8xxqg/81c6f10411e345e17ef8abcede660feadfe1e638.jpg
VenantHP,Hp ElitBook 840 G8,275 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45bbb8cc8e3d20d31147c6956c8697b8/-/horizon-files-prod/ed/picture/q9mj2896/2a51114898fe7b5fb3f9a60bda08c98fa3c54d46.jpg
