details,etat,marque,prix,adresse,image_lien
Samsung Fold 5 256GB,Neuf,Samsung,597 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/becfe3dd50959ee4181a2bd7f66b5392/-/horizon-files-prod/ed/picture/qwep7k24/3635a69ba3e14a411873b9e1d438f4c59abe737c.jpg
Samsung note 20 ultra 256GB,Neuf,Samsung,297 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da7053de89d38ac8c2553df2a61fb375/-/horizon-files-prod/ed/picture/qngpejxe/d746437f928f00da8148a0c419635c777341aa42.jpg
IPhone 12 Pro Max 128GB scellé,Neuf,iPhone,310 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d37f44400965de6cfcec9575064d324f/-/horizon-files-prod/ed/picture/qzvpkq8x/51c553574e45024937555180e571f59cc71a39e4.jpg
Redmi note13 Pro+,Neuf,Xiaomi,240 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e475b2de5e996dc0f8f5208e27c93da2/-/horizon-files-prod/ed/picture/qde7p2r8/74ba3256af45657b3621b63b42bd704194d69e03.jpg
Pixel 9Pro XL 128GB,Neuf,Google,630 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e9b3ab2f2853484b5db50ca098d16b63/-/horizon-files-prod/ed/picture/qv4wjk7x/686b7aea4a7aab86c26c12c149d88c1b9091ba40.jpg
Pixel 9Pro 128GB,Neuf,Google,550 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbecd2061a3b9f8abc306a35c641e743/-/horizon-files-prod/ed/picture/q2j06zg2/871014c89c81cbda7463ed14db487f890f0f525e.jpg
Pixel 9 128GB,Neuf,Google,400 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1301706607232907df373cad36850d85/-/horizon-files-prod/ed/picture/q78wz7me/958c2c79f3842e620c201fdf91b78b545a91ce5e.jpg
Honor Magic 7pro,Neuf,Honor,700 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03893f872e609cedba3d3b887e095c44/-/horizon-files-prod/ed/picture/qngpe0ev/ededc7ca678791ebf3eb6fecf906507c228514d4.jpg
Samsung galaxie S25 ultra 512,Neuf,Samsung,850 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ec0137b7fc5480f37f603e4d263c31c/-/horizon-files-prod/ed/picture/q0g7jw5w/c5f581d98550532ea3f4750603f7a2d9e65f8eec.jpg
Huawei  mate X6 512 12,Neuf,Huawei,875 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/77384691fdafa2ff14d3387d754509cb/-/horizon-files-prod/ed/picture/qrz8e6wj/4af2aeee5b3df569f23d29b52493790eb02b6ae8.jpg
Iphone 16,Neuf,iPhone,"570 000

700 000

Économisez18.6%",Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42f49a362fb2bf08d36d929900cdaa9a/-/horizon-files-prod/ed/picture/qngp0x59/20542dc555a7261b0ff7b0a0fdf897d1612b4f85.jpg
Iphone 13,Neuf,iPhone,320 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49108f189000888724e69ac29d9c5ca1/-/horizon-files-prod/ed/picture/qq42kx2w/70e250f50f226cb27caa0d10ad86a10d8a775ab7.jpg
Iphone 16,Neuf,iPhone,650 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87591c7c24917099fb24a14d180a1856/-/horizon-files-prod/ed/picture/qzvpqwdg/ab6c850de5d9887495be16a08a4cb7bfeeb25cb9.jpg
Vente Google Pixel 9 Pro XL,Neuf,Google,775 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d43c17a751b61841dee6360f81986fab/-/horizon-files-prod/ed/picture/qpdmen2w/2a8a79c60381f070d0babfec8e4e363d024d4b7b.jpg
Vente Oppo Reno 12F 5G,Neuf,Oppo,145 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e41a6c56c3a7ecc51126cb4717a5ddfd/-/horizon-files-prod/ed/picture/qrz8xwjx/203223b3a2caffb263528dc7f3bb2b8fcb22ecbd.jpg
Vente Oppo Find X80 Pro 5G,Neuf,Oppo,575 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99b1cda7c279817ddf9adc0a8ad2da4e/-/horizon-files-prod/ed/picture/qngpzggv/cc54566c50ecc74ae8e161169526d5db63a51db0.jpg
Samsung S24 ultra 256G,Neuf,Samsung,600 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36a1acb59bc8c1808de16d0f9de95106/-/horizon-files-prod/ed/picture/qenvep5k/2e49b1ca3b6e3737239833a5364c3c74e6cbf703.jpg
iPhone 13 promax,Neuf,iPhone,350 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1c44c0b4a933b503051c9fdc6b9803f/-/horizon-files-prod/ed/picture/q6xd9n8j/6c307ad0457730d4477c8be31e6154999fc9ed52.jpg
Iphone 15 simple,Neuf,iPhone,385 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5722daf2822d7680247394e23ab2171/-/horizon-files-prod/ed/picture/qm5gqj8w/2306bc4f6beebd1731736a44ab545157cea7c3a4.jpg
Iphone Xr 128G,Neuf,iPhone,"125 000

145 000

Économisez13.8%",Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18a887d69e7b7fb8baa1553a796b5523/-/horizon-files-prod/ed/picture/q8v56w26/db7110292e431edefa8d68dbb26eb98f13ff4ce0.jpg
"Infinix Hot 50i - 128Go Ram 8(4+4)Go Écran 6,7 pouces",Neuf,Infinix,67 500,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/09f01521b8293a295ba8c0691520a213/-/horizon-files-prod/ed/picture/qenvw9r4/1c505e61c0fbf534ecff94faa5a9c181d75c53ea.jpg
"Tecno POP 8 – 64 Go – Ram 4 Go – Ecran 6.6"" pouces",Neuf,Tecno,47 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5666e90ec1cf5ff2b98431fcd9df672/-/horizon-files-prod/ed/picture/qxjpwk22/20a744307b618acf9f804a901ec22535e0eaa729.jpg
15pro max 512G,Neuf,iPhone,670 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/596cf49b4cb22845a2a900bd21a82541/-/horizon-files-prod/ed/picture/qngpe9re/d4bd6dfe321d3a589ad4e8fc56eb8433e08aefa7.jpg
Huawei p30 pro scellé 256go,Neuf,Huawei,140 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05272a24baf665ced1e5d2606aa31b48/-/horizon-files-prod/ed/picture/q56x0d7p/cbfc505c03197aeb7d176c271feeb2878fb2104f.jpg
Samsung Galaxy S25ultra 512giga neuf scellé,Neuf,Samsung,850 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbe20b2a4329008a83b46bf99f6b7fcb/-/horizon-files-prod/ed/picture/qrz8eq7x/6ab1a74801532663497d981c8a6c1a0954dc57e5.jpg
SAMSUNG GALAXY S25 ULTRA 512GO RAM 12GO,Neuf,Samsung,850 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b1d5f511b377982f39a7abd99afd970/-/horizon-files-prod/ed/picture/qj4qe6xd/ff0a49f2515ddaeca883c6ef8619277759c11081.jpg
Vente BlackView BV9100,Neuf,Autres,145 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d3ad8694f0849e5b0707b55e63dbf85/-/horizon-files-prod/ed/picture/qm5ge0jd/ea4c3ce69a081600cad33b331a28c539bfe9b3dc.jpg
SAMSUNG GALAXY S25 ULTRA 256GO RAM 12GO,Neuf,Samsung,775 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57986797410ed125916e24841edfbef4/-/horizon-files-prod/ed/picture/q0g7jk9g/81702965f97ce0f93568ce09c4d90a4db611de44.jpg
Samsung galaxy A05 neuf 64go,Neuf,Samsung,55 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53604fc69ad86dfe7d663094c0b8fed1/-/horizon-files-prod/ed/picture/qq42d7ke/4a37c454cf088f1056b03eaacb4f876fde81fc01.jpg
Xiaomi redmi note 13pro 256go ram 8go,Neuf,Xiaomi,140 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d0b7dbca69e7cc270b3a5ac5bdcb68d/-/horizon-files-prod/ed/picture/q8v47k99/55442514536ec9539bda27242203854d52ae4533.jpg
Tecno spark 20pro 256go Ram 8go,Neuf,Tecno,85 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42203170ce7335ff8437a3bb8aa16be3/-/horizon-files-prod/ed/picture/q78w6xgd/c3945f135253ab5932b097a0911b4f522c3ad952.jpg
Xiaomi redmi note 13pro plus 256go ram 8go,Neuf,Xiaomi,175 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c26e37be7ec41205296918f3879d6b5e/-/horizon-files-prod/ed/picture/qv4wj9kv/0f4922c47a433a1b4a12020a4c844f5bd2be2d42.jpg
16 simple Sim 128GB,Neuf,iPhone,539 900,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb97eb590d3b28f1a50405d96456929c/-/horizon-files-prod/ed/picture/q6xdwn5z/81fae6f505b4fb06d6905fea9e8f127fa2ec7d5e.jpg
IPHONE 13 128 GB,Neuf,iPhone,245 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9eb30283a0a92446d6e8d1f983dca826/-/horizon-files-prod/ed/picture/q6xd8kj4/62117394272498f699826cb2636d3452dec8e768.jpg
Samsung galaxy S25 ultra  256,Neuf,Samsung,775 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c6abadbc32a58e5b80b6a6e993797ee/-/horizon-files-prod/ed/picture/qgqwe98k/c6910396d7f8b340153be8899da61c4a30d000a1.jpg
Iphone 16 Pro max,Neuf,iPhone,"850 000

1 000 000

Économisez15%",Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/470be8352122106e5ccf1dbdc47c22e3/-/horizon-files-prod/ed/picture/qm5gvr89/4142ee6ad0b3d62a8262cee2b90621953afe4710.jpg
IPHONE XS MAX,Neuf,iPhone,100 000,Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6c36e10728c63e27a87e7fb68a5b9a6/-/horizon-files-prod/ed/picture/qrz8xjqm/a0b3eb68afb6500643b4320e4c3758fb77055fa3.jpg
OPPO RENO 5A,Neuf,Oppo,85 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b41e35c7e3d198e55525ad387b4632d/-/horizon-files-prod/ed/picture/q6xd8ke6/893e986d0a2bfcde83eef5ffd358cc5ad09a5fdc.jpg
Nokia 3310,Neuf,Nokia,25 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e947b34ef40892d7a24ff06236d21bc9/-/horizon-files-prod/ed/picture/qgqwjmv2/68f4e62386f8789072dcbdf47a23115ba327fbb9.jpg
Xiaomi redmi 14c neuf 128go ram 8go,Neuf,Xiaomi,65 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4c2e70a2c1e29f92f3ca0bb20e17dfa/-/horizon-files-prod/ed/picture/q78wqg7d/f5293a96b0a7e2324a82ad00bc20b9eed5557747.jpg
